id,title,person,liked_news,trust_news,fit_preference,recommend_news,many_to_choose,created,session_id
25,EvaluateChoices8,29,Strongly_Disagree,Strongly_Disagree,Disagree,Neutral,Blue,18,500
26,EvaluateChoices8,30,Agree,Agree,Neutral,Disagree,Blue,8,500
27,EvaluateChoices8,34,Strongly_Disagree,Neutral,Neutral,Strongly_Disagree,Blue,8,60ae54561666056b2558ba4d
28,EvaluateChoices8,31,Strongly_Agree,Strongly_Disagree,Neutral,Strongly_Disagree,Blue,18,610094b41fe99128974a1cce
29,EvaluateChoices8,32,Agree,Strongly_Disagree,Disagree,Strongly_Disagree,Blue,18,6336fecb0b27c43626068e01
30,EvaluateChoices8,33,Agree,Neutral,Neutral,Neutral,Blue,8,60fdd6065200f6120a01fba5
31,EvaluateChoices8,42,Neutral,Agree,Neutral,Neutral,Blue,18,61534251f98a9e4929d81c2b
32,EvaluateChoices8,39,Strongly_Agree,Agree,Neutral,Neutral,Blue,18,5c7af0dc9782c300011cd107
33,EvaluateChoices8,46,Strongly_Agree,Disagree,Disagree,Disagree,Blue,18,62732854d22b38dbdae3ef9c
34,EvaluateChoices8,38,Agree,Neutral,Neutral,Agree,Blue,18,627e71af3701230cdc757652
35,EvaluateChoices8,35,Disagree,Neutral,Neutral,Strongly_Disagree,Blue,18,611422d77a092e25de5b1bca
36,EvaluateChoices8,44,Agree,Neutral,Disagree,Neutral,Blue,18,5c2940e510677f0001dc10e9
37,EvaluateChoices8,37,Strongly_Agree,Disagree,Neutral,Strongly_Disagree,Blue,8,5c40134b1580e900012320ab
38,EvaluateChoices8,43,Strongly_Agree,Agree,Agree,Disagree,Blue,8,6116ef130896a8270e1c5619
39,EvaluateChoices8,49,Neutral,Neutral,Disagree,Disagree,Blue,18,61075cd65402ea40233182f1
40,EvaluateChoices8,40,Agree,Agree,Neutral,Agree,Blue,18,5f79809ea692be01b666c74a
41,EvaluateChoices8,48,Agree,Neutral,Neutral,Disagree,Blue,18,5ec6747917fbef0476a0841a
